,tweet,date,hashtag,retweets,tokenized_tweet
134,. @grahnort . @bbceurovision Just completed a 5K for @BBCCiN & raised over £ 1000 in total today. Big up the team at @cineworld in Scotland for it. Party celebrating our result! #Eurovision,2018-05-12 12:32:58,#Eurovision,0,grahnort bbceurovis just complet bbccin rais total today big team cineworld scotland parti celebr result eurovis
135,"Venessa Carlton called, she wants you to go 1000 miles the other way, henny #Eurovision",2018-05-12 12:31:55,#Eurovision,0,venessa carlton call want mile way henni eurovis
136,"I oddly like it, but I’m sure she said she’d walk a mile, when the proclaimers did 1000 - cheap #Eurovision #LTU",2018-05-12 12:30:56,#Eurovision #LTU,0,oddli like sure said walk mile proclaim did cheap eurovis ltu
137,Slovenia lose 1000 points for a light show that woke my baby. #eurovision,2018-05-12 12:28:33,#eurovision,9,slovenia lose point light woke babi eurovis
138,#Eurovision Emocion al 1000 #CYP #Lisbon,2018-05-12 12:28:28,#Eurovision #CYP #Lisbon,0,eurovis emocion al cyp lisbon
139,@bbceurovision just returned from running a 5K for @BBCCiN & now having Eurovision party to celebrate raising over £ 1000 today!! #bbceurovision #EUROVISION,2018-05-12 12:27:58,#bbceurovision #EUROVISION,0,bbceurovis just return run bbccin have eurovis parti celebr rais today bbceurovis eurovis
140,"You could make 1000 amazing sassy GIFs out of this performance, but never remember how the song went #eurovision",2018-05-12 12:27:16,#eurovision,0,make amaz sassi gif perform rememb song went eurovis
141,Even tho I’ve seen this 1000 times I still panic when the music stops #eurovision,2018-05-12 12:27:13,#eurovision,0,tho ve seen time panic music stop eurovis
142,No wonder this lot are 1000 's on Betfair. Shite. #SLO #Eurovision,2018-05-12 12:25:51,#SLO #Eurovision,1,wonder lot betfair shite slo eurovis
143,Spain definitely lost x 1000 votes for not kissing at the end #Eurovision #SBSEurovision,2018-05-12 12:25:42,#Eurovision #SBSEurovision,1,spain definit lost vote kiss end eurovis sbseurovis
144,Pretty sure I just got diabetes. Also she's 1000 % a better singer than him #ESP #eurovision,2018-05-12 12:23:45,#ESP #eurovision,0,pretti sure just got diabet better singer esp eurovis
145,#EUROVISION is where 1000 's of people spend a fortune making the very highest quality version of mediocre entertainment. Perhaps that's why we love it so much? Discuss.,2018-05-12 12:19:21,#EUROVISION,0,eurovis peopl spend fortun make highest qualiti version mediocr entertain love discuss
146,"#Eurovision is 1000 times worse with Graham Norton taking over from Wogan. Considering Wogan made it his life's work to make Eurovision a 1000 times worse that some achievement isn't it? anyone £10 each way on Bulgaria makes it at least interesting, remote in hand to mute Norton.",2018-05-12 12:05:08,#Eurovision,0,eurovis time wors graham norton take wogan consid wogan life work make eurovis time wors achiev isn way bulgaria make interest remot hand mute norton
147,Weekend Sales!! 1000 retweets @$26.99 . Order now at https://www. getlikes.cheap / #eurovision #fridayfeeling #retweets @tcrobotics #buyitnow #Trending pic.twitter.com/p2nsIKZDYs,2018-05-11 11:34:06,#eurovision #fridayfeeling #retweets #buyitnow #Trending,0,weekend sale retweet order getlik cheap eurovis fridayfeel retweet tcrobot buyitnow trend pic twitter com nsikzdi
148,"Ireland are the big movers in the #Eurovision betting. Having been matched at 1000 .0, they now trade as short as 13.0. http:// btfr.co/EV2018-EX pic.twitter.com/josEGcwrtH",2018-05-11 08:17:36,#Eurovision,4,ireland big mover eurovis bet have match trade short http btfr ev ex pic twitter com josegcwrth
149,"Ireland were 700/1 to win the #Eurovision last week, hitting 1000 /1 a couple of times. Now third favourites? Really? pic.twitter.com/Uv75GHknli",2018-05-11 05:58:25,#Eurovision,0,ireland win eurovis week hit coupl time favourit realli pic twitter com uv ghknli
150,"My profile right now has six flags, the top six songs/countries I'm rooting for: Finland Israel Cyprus Czech Republic Ukraine Spain I believe firmly, 1000 %, beyond a shadow of a doubt, that the winner of this year's #Eurovision is within that list.",2018-05-10 14:44:46,#Eurovision,0,profil right flag song countri root finland israel cypru czech republ ukrain spain believ firmli shadow doubt winner year eurovis list
151,Slayvenia!!! Someone on the inside knew. They jumped from 1000 /1 to 160/1 during the voting sequence #Eurovision,2018-05-10 14:14:03,#Eurovision,2,slayvenia insid knew jump vote sequenc eurovis
152,I think the Slovenia is OK. Not quite sure why it’s odds have been sat at 1000 for last month. #Slo #Eurovision,2018-05-10 13:18:45,#Slo #Eurovision,0,think slovenia ok quit sure odd sat month slo eurovis
153,Fucking rocking and singing in in hungarian???!! MAKE THEM THE FUCKING WINNERS!!! ALL THE 12 POINTS!! 1000 POINTS! #Eurovision I love them #riggedvotingsistem,2018-05-10 13:07:37,#Eurovision #riggedvotingsistem,0,fuck rock sing hungarian make fuck winner point point eurovis love riggedvotingsistem
154,Jarred Leto wannabe in a hat (balding?) singing weakly and making us sing #LightEmUp #FallOutBoy which is 1000 % better #Poland #eurovision,2018-05-10 12:54:12,#LightEmUp #FallOutBoy #Poland #eurovision,1,jar leto wannab hat bald sing weakli make sing lightemup falloutboy better poland eurovis
155,"Ok, but for real, @AlexanderRybak could 1000 % get it from me. He's so damn adorkable, I'm here for it. #Eurovision #eurosemi2",2018-05-10 12:43:29,#Eurovision #eurosemi2,0,ok real alexanderrybak damn adork eurovis eurosemi
156,1000 times better than last year. Still can't get that asshole with the eyebrows and no socks out of my nightmares. #Eurovision #AUS,2018-05-10 12:43:28,#Eurovision #AUS,1,time better year asshol eyebrow sock nightmar eurovis au
157,Oh dear. Now I understand why they’re 1000 /1... #SMR #eurovision,2018-05-10 12:21:26,#SMR #eurovision,0,oh dear understand smr eurovis
158,"San Marino gets bonus points for the robots, - 1000 for the rap bit. #EUROVISION",2018-05-10 12:19:55,#EUROVISION,0,san marino get bonu point robot rap bit eurovis
159,Norway tonight is song number 1500 at Eurovision. But let’s not forget that song 1000 was Ireland! #Eurovision,2018-05-10 12:06:03,#Eurovision,5,norway tonight song number eurovis let forget song ireland eurovis
160,#EuroSemi2 : Bookmakers ( 10:00 am) #AllAboard #Eurovision #ESC2018 pic.twitter.com/eZTgPo1TEc,2018-05-10 01:13:56,#EuroSemi2 #AllAboard #Eurovision #ESC2018,0,eurosemi bookmak allaboard eurovis esc pic twitter com eztgpo tec
161,Just for info - you can back #Ireland to win #Eurovision2018 @50/1 with #PaddyPower & 90/1 with #Betfair . I'd say 1000 /1 more realistic. #Eurovision,2018-05-09 11:37:27,#Ireland #Eurovision2018 #PaddyPower #Betfair #Eurovision,0,just info ireland win eurovis paddypow betfair say realist eurovis
162,1000 retweets and the University of Glasgow will buy me a Surface Pro #uofgimpact #MyBigBroadwayNumber #ISavedTheWorldBy #science #Eurovision #pewdiepie https:// m.youtube.com/watch?v=4vwULK NgaAk …,2018-05-09 04:12:30,#uofgimpact #MyBigBroadwayNumber #ISavedTheWorldBy #science #Eurovision #pewdiepie,7,retweet univers glasgow buy surfac pro uofgimpact mybigbroadwaynumb isavedtheworldbi scienc eurovis pewdiepi http youtub com watch vwulk ngaak
163,Omg!!!! Yes!!!!' I'm 1000 % behind Israel!!! And all those lucky cats!! And her loliwa is brilliant!!! #isr #eurovision #AllAboard,2018-05-09 03:17:22,#isr #eurovision #AllAboard,0,omg ye israel lucki cat loliwa brilliant isr eurovis allaboard
164,"Finland was 1000 % My Shit, could even make it on to a party playlist in my future #EUROVISION",2018-05-08 20:46:29,#EUROVISION,0,finland shit make parti playlist futur eurovis
165,"Massive lobbying of the betting odds by A.Rybak's fangirls, which is fine. Watch him move his butt, feed his huge ego, make him win 1000 times if you want, get deaf by listening to his song in loop. It's fine for me. #Eurovision",2018-05-08 17:58:50,#Eurovision,0,massiv lobbi bet odd rybak fangirl fine watch butt feed huge ego make win time want deaf listen song loop fine eurovis
166,"I should explain. For foreign (American) readers: Eurovision is like the European equivalent of the Super Bowl, but with genderfuck cranked up to 1000 wind machines political scoring glitter a giant spreadsheet at the end #Eurovision",2018-05-08 15:00:10,#Eurovision,1,explain foreign american reader eurovis like european equival super bowl genderfuck crank wind machin polit score glitter giant spreadsheet end eurovis
167,+ 1000 #EuroSemi1 #Eurovision https:// twitter.com/mariina_611/st atus/993951966303842308 …,2018-05-08 13:36:01,#EuroSemi1 #Eurovision,2,eurosemi eurovis http twitter com mariina st atu
